name,country,city,type,address,website,email,phone,status
Iko Iko,New Zealand,Wellington,Puzzle and Hobby Store,"118 Cuba Street, Te Aro, Wellington 6011",https://ikoiko.co.nz,info@ikoiko.co.nz,+64 4 385 0999,
Card Merchant Wellington,New Zealand,Wellington,Trading Card Game Store,"180 Willis Street, Te Aro, Wellington 6011",https://cardmerchant.co.nz,info@cardmerchant.co.nz,+64 4 384 1234,
Sushi Bi,New Zealand,Wellington,sushi restaurant,"100 Willis Street, Wellington Central, Wellington 6011",https://sushibi.co.nz,enquiries@sushibi.co.nz,+6444728888,
Kazu Yakitori & Sake Bar,New Zealand,Wellington,Japanese restaurant,"45 Courtenay Place, Te Aro, Wellington 6011",https://kazu.co.nz,eva@kazu.co.nz,+6448017777,
Hobby Zone,New Zealand,Wellington,Hobby Shop,"60 Manners Street, Te Aro, Wellington 6011",https://hobbyzone.co.nz,sales@hobbyzone.co.nz,+64 4 385 4444,
Dragonfly,New Zealand,Wellington,Asian lifestyle store,"70 Courtenay Place, Te Aro, Wellington 6011",https://dragonfly.co.nz,hello@dragonfly.co.nz,+6448033920,
Ozeki Japanese Restaurant,New Zealand,Wellington,Japanese restaurant,"128 Willis Street, Te Aro, Wellington 6011",https://ozeki.co.nz,ozeki@ozeki.co.nz,+6443843333,
Small Acorns,New Zealand,Wellington,Concept Store,"108 Willis Street, Wellington Central, Wellington 6011",https://smallacorns.co.nz,wgtn@smallacorns.co.nz,+64 4 801 5787,
The Children's Bookshop,New Zealand,Wellington,Bookstore,"Shop 26, Kilbirnie Plaza, 27 Bay Road, Kilbirnie, Wellington 6022",https://thechildrensbookshop.co.nz,books@thechildrensbookshop.co.nz,+64 4 387 3905,
Thunderpants,New Zealand,Wellington,Concept Store,"128 Cuba Street, Te Aro, Wellington 6011",https://thunderpants.co.nz,info@thunderpants.co.nz,+64 4 385 2221,
Slow Boat Records,New Zealand,Wellington,Concept Store,"183 Cuba Street, Te Aro, Wellington 6011",https://slowboatrecords.co.nz,slow.boat.music@xtra.co.nz,+64 4 385 1120,
Space Station,New Zealand,Wellington,Geek Culture Shop,"108 Cuba Street, Te Aro, Wellington 6011",https://spacestation.co.nz,parnell@spacestation.co.nz,+64 4 384 5555,
Marsden Books,New Zealand,Wellington,Bookstore,"156 Karori Road, Karori, Wellington 6012",https://marsdenbooks.co.nz,info@marsdenbooks.co.nz,+64 4 476 6083,
Unity Books,New Zealand,Wellington,Bookstore,"57 Willis Street, Wellington Central, Wellington 6011",https://www.unitybooks.nz,shop@unitybooksauckland.co.nz,+64 4 499 4245,
Miniso,New Zealand,Wellington,Novelty Store,"180 Lambton Quay, Wellington Central, Wellington 6011",https://miniso.com,franchise@miniso.com,+64 4 473 4444,
Ziggurat,New Zealand,Wellington,Concept Store,"148 Riddiford Street, Newtown, Wellington 6021",https://ziggurat.co.nz,mike@ziggurat.co.nz,+64 4 389 5555,
The Garden Party,New Zealand,Wellington,Concept Store,"150 Cuba Street, Te Aro, Wellington 6011",https://thegardenparty.co.nz,info@thegardenparty.co.nz,+64 4 385 2000,
Te Papa Store,New Zealand,Wellington,Gift Shop,"55 Cable Street, Te Aro, Wellington 6011",https://tepapastore.co.nz,tepapastore@tepapa.govt.nz,+64 4 381 7000,
Kura Gallery,New Zealand,Wellington,Design Shop,"99 Willis Street, Wellington Central, Wellington 6011",https://kuragallery.co.nz,wellington@kuragallery.co.nz,+64 4 472 3000,
Paper Plane,New Zealand,Wellington,Design Shop,"122 Cuba Street, Te Aro, Wellington 6011",https://paperplanestore.com,info@paperplanestore.com,+64 4 385 7000,
The Book Haven,New Zealand,Wellington,Bookstore,"150 Riddiford Street, Newtown, Wellington 6021",https://bookhaven.co.nz,shop@bookhaven.co.nz,+64 4 389 8000,
Wellington City Library Shop,New Zealand,Wellington,Bookstore,"65 Victoria Street, Wellington Central, Wellington 6011",https://wcl.govt.nz,enquiries@wcl.govt.nz,+64 4 801 4000,
Wellington Apothecary,New Zealand,Wellington,Concept Store,"110a Cuba Street, Te Aro, Wellington 6011",https://wellingtonapothecary.co.nz,info@wellingtonapothecary.co.nz,+64 4 385 6000,
Weta Workshop Unleashed,New Zealand,Wellington,Hobby and Collectible Shop,"1 Weka Street, Miramar, Wellington 6022",https://wetaworkshop.com,info@wetaworkshop.co.nz,+64 4 380 9361,
Unity Books (Karori),New Zealand,Wellington,Bookstore,"248 Karori Road, Karori, Wellington 6012",https://unitybooks.nz,shop@unitybooksauckland.co.nz,+64 4 476 4000,
Wellington Museum Shop,New Zealand,Wellington,Gift Shop,"10 Jervois Quay, Wellington Central, Wellington 6011",https://museumswellington.org.nz,cherylistic@gmail.com,+64 4 472 8904,
Dice & Slice,New Zealand,Christchurch,Game Cafe,"124 Riccarton Road, Riccarton, Christchurch 8041",https://diceandslice.co.nz,shop@diceandslice.co.nz,+64 3 343 0000,
Game Over Christchurch,New Zealand,Christchurch,Hobby Shop,"333 Brougham Street, Sydenham, Christchurch 8023",https://gameoverchristchurch.co.nz,info@gameoverchristchurch.co.nz,+64 3 365 0000,
Card Merchant Christchurch,New Zealand,Christchurch,Trading Card Shop,"123 High Street, Christchurch Central City, Christchurch 8011",https://cardmerchant.co.nz,info@cardmerchant.co.nz,+64 3 377 0000,
Kumo Japanese Restaurant,New Zealand,Christchurch,Japanese restaurant,"126 Oxford Terrace, Christchurch Central City, Christchurch 8011",https://kumo.co.nz/,hello@kumo.co.nz,+64 3 366 8888,
Sushi Bi,New Zealand,Christchurch,sushi restaurant,"180 High Street, Christchurch Central City, Christchurch 8011",https://sushibi.co.nz/,enquiries@sushibi.co.nz,+64 3 366 9999,
Iko Iko,New Zealand,Christchurch,gift shop,"100 Oxford Terrace, Christchurch Central City, Christchurch 8011",https://ikoiko.co.nz,info@ikoiko.co.nz,+64 3 366 6655,
Sushi Land,New Zealand,Christchurch,sushi restaurant,"450 Riccarton Road, Riccarton, Christchurch 8041",https://sushiland.co.nz/,info@sushiland.co.nz,+64 3 348 3333,
Anime World,New Zealand,Christchurch,anime shop,"180 Riccarton Road, Riccarton, Christchurch 8041",https://animeworld.co.nz/,igamer.co.nz@gmail.com,+64 3 348 3333,
Gift Box NZ,New Zealand,Christchurch,gift shop,"500 Colombo Street, Sydenham, Christchurch 8023",https://giftboxnz.co.nz,support@giftboxnz.co.nz,+64 3 377 7777,
The Book Haven,New Zealand,Christchurch,bookstore,"400 Colombo Street, Sydenham, Christchurch 8023",https://bookhaven.co.nz,shop@bookhaven.co.nz,+64 3 377 3333,
Koji Japanese Restaurant,New Zealand,Christchurch,Japanese restaurant,"110 Riccarton Road, Riccarton, Christchurch 8041",https://koji.co.nz/,kojibuffetchch@gmail.com,+64 3 348 8888,
Design Denmark,New Zealand,Christchurch,design shop,"200 Papanui Road, Merivale, Christchurch 8014",https://designdenmark.co.nz,info@designdenmark.co.nz,+64 3 355 3333,
Design Studio,New Zealand,Christchurch,design shop,"120 Victoria Street, Christchurch Central City, Christchurch 8013",https://designstudio.co.nz,info@designstudio.co.nz,+64 3 377 5555,
Geek Culture Collective,New Zealand,Christchurch,geek culture shop,"120 High Street, Christchurch Central City, Christchurch 8011",https://geekculture.co.nz,info@geekculture.co.nz,+64 3 366 6666,
Sushi King,New Zealand,Christchurch,sushi restaurant,"350 Riccarton Road, Riccarton, Christchurch 8041",https://sushiking.co.nz/,woodzgood@xtra.co.nz,+64 3 348 6666,
The Card Merchant Hamilton,New Zealand,Hamilton,Trading card shop,"Shop 12, Centre Place, 501 Victoria Street, Hamilton 3204",https://cardmerchant.co.nz,info@cardmerchant.co.nz,+64 7 839 1234,
Sakura Japanese Restaurant,New Zealand,Hamilton,Japanese restaurant,"250 Victoria Street, Hamilton Central, Hamilton 3204",https://sakura.co.nz,shop@yourstore.com,07-839 4444,
Hokkaido Japanese Restaurant,New Zealand,Hamilton,Japanese restaurant,"237 Victoria Street, Hamilton Central, Hamilton 3204",https://hokkaido.co.nz,hokkaidonz@hotmail.com,07-839 5588,
The Toy Box,New Zealand,Hamilton,Toy store,"200 Te Rapa Road, Te Rapa, Hamilton 3200",https://www.thetoybox.co.nz,info@thetoybox.co.nz,+64 7 849 6666,
Book Worms,New Zealand,Hamilton,Bookstore,"500 Grey Street, Hamilton East, Hamilton 3216",https://www.bookworms.co.nz,info@bookworms.co.nz,+64 7 856 1111,
Design Studio,New Zealand,Hamilton,Design shop,"1300 Victoria Street, Hamilton Central, Hamilton 3204",https://www.designstudio.co.nz,info@designstudio.co.nz,+64 7 839 9999,
Sushi King,New Zealand,Hamilton,sushi restaurant,"520 Victoria Street, Hamilton Central, Hamilton 3204",https://sushiking.co.nz,woodzgood@xtra.co.nz,07-839 1122,
