name,type,city,country,website,email,phone,instagram,reason,status
Spielfeld,board game store,Vienna,Austria,https://spielfeld.at,office@spielfeld.at,+43 1 5124456,@spielfeld_wien,A premier board game specialty shop in central Vienna with a curated selection of modern card and board games.,contacted
Planet Harry,board game store,Vienna,Austria,https://planetharry.at,office@planetharry.at,+43 1 5850933,@planetharry_vienna,"Well-known independent shop specializing in niche and international board games, perfect for a designer card game.",contacted
Nippon En,Japan stores,Vienna,Austria,https://nippon-en.at,office@nippon-en.at,+43 1 5223522,@nipponen_vienna,Specializes in Japanese food and culture; Omakase's sushi theme aligns perfectly with their customer base.,
O-M-I (Original Modern Items),Japan stores,Vienna,Austria,https://o-m-i.at,info@o-m-i.at,+43 1 5223113,@omi_vienna,"A boutique focusing on Japanese design and lifestyle products, fitting Omakase's strong design qualities.",
The Vienna Store,gift shop,Vienna,Austria,https://theviennastore.at,office@theviennastore.at,+43 1 5337281,@theviennastore,"Focuses on high-quality, well-designed gifts and souvenirs, making it a great fit for a visually appealing card game.",contacted
Spielraum,board game store,Vienna,Austria,https://spielraum.co.at,office@spielraum.co.at,+43 1 8900884,@spielraum_wien,A major hub for card games and board games in Vienna with a dedicated community of players and high foot traffic.,contacted
Spielzeugschachtel,toy store,Graz,Austria,https://www.spielzeugschachtel.at,office@spielzeugschachtel.at,+43 316 829440,@spielzeugschachtel_graz,"A premier independent toy store in the city center that focuses on high-quality, curated toys and games rather than mass-market brands.",contacted
Comic-Galerie,board game store,Graz,Austria,https://www.comic-galerie.at,graz@comic-galerie.at,+43 316 825140,,"The primary destination in Graz for specialty board games, card games, and comics, catering to a dedicated gaming community.",contacted
Kwirl,Concept design,Graz,Austria,https://www.kwirl.at,office@kwirl.at,+43 699 11165651,@kwirl_graz,"A design-focused concept store that prioritizes sustainable and aesthetically unique products, making it a perfect fit for Omakase's strong design qualities.",contacted
Büchersegler,book shop,Graz,Austria,https://www.buechersegler.at,info@buechersegler.at,+43 316 810101,@buechersegler,"An independent bookstore with a highly curated selection of gifts and games that appeal to a sophisticated, design-conscious demographic.",contacted
